Date,Product,Category,Region,Quantity,Unit_Price,Total_Sales,On_Promotion
2023-01-01,Laptop,Electronics,East,81,997.22,80775.2,False
2023-01-01,Laptop,Electronics,West,89,995.31,88582.32,False
2023-01-01,Laptop,Electronics,North,87,1015.34,88334.45,False
2023-01-01,Laptop,Electronics,South,73,990.72,72322.69,False
2023-01-01,Smartphone,Electronics,East,60,673.2,40392.27,False
2023-01-01,Smartphone,Electronics,West,64,685.81,43891.88,False
2023-01-01,Smartphone,Electronics,North,65,680.22,44214.17,False
2023-01-01,Smartphone,Electronics,South,57,700.94,39953.32,False
2023-01-01,Headphones,Electronics,East,55,160.34,8818.97,False
2023-01-01,Headphones,Electronics,West,73,158.07,11538.97,False
2023-01-01,Headphones,Electronics,North,61,165.92,10120.93,False
2023-01-01,Headphones,Electronics,South,48,162.62,7805.86,False
2023-01-01,Coffee Maker,Appliances,East,101,76.85,7762.35,False
2023-01-01,Coffee Maker,Appliances,West,118,81.17,9578.23,False
2023-01-01,Coffee Maker,Appliances,North,93,79.51,7394.27,False
2023-01-01,Coffee Maker,Appliances,South,106,79.25,8400.83,False
2023-01-01,Blender,Appliances,East,77,48.23,3713.5,False
2023-01-01,Blender,Appliances,West,68,49.31,3353.3,False
2023-01-01,Blender,Appliances,North,77,50.92,3920.92,False
2023-01-01,Blender,Appliances,South,72,50.32,3623.13,False
2023-01-01,Office Chair,Furniture,East,73,199.25,14545.06,False
2023-01-01,Office Chair,Furniture,West,78,203.24,15852.72,False
2023-01-01,Office Chair,Furniture,North,92,204.0,18768.36,False
2023-01-01,Office Chair,Furniture,South,91,201.44,18330.63,False
2023-01-01,Desk,Furniture,East,66,247.5,16335.13,True
2023-01-01,Desk,Furniture,West,102,300.51,30652.25,False
2023-01-01,Desk,Furniture,North,90,288.06,25925.85,False
2023-01-01,Desk,Furniture,South,92,308.86,28414.85,False
2023-01-02,Laptop,Electronics,East,91,989.95,90085.9,False
2023-01-02,Laptop,Electronics,West,112,989.39,110812.23,False
2023-01-02,Laptop,Electronics,North,94,1019.36,95820.09,False
2023-01-02,Laptop,Electronics,South,79,992.15,78379.69,False
2023-01-02,Smartphone,Electronics,East,105,703.64,73882.7,False
2023-01-02,Smartphone,Electronics,West,91,680.18,61895.93,False
2023-01-02,Smartphone,Electronics,North,91,688.76,62677.0,False
2023-01-02,Smartphone,Electronics,South,109,581.12,63341.75,True
2023-01-02,Headphones,Electronics,East,84,159.75,13419.15,False
2023-01-02,Headphones,Electronics,West,123,160.18,19702.48,False
2023-01-02,Headphones,Electronics,North,95,160.95,15290.71,False
2023-01-02,Headphones,Electronics,South,82,163.65,13419.04,False
2023-01-02,Coffee Maker,Appliances,East,211,78.54,16570.92,False
2023-01-02,Coffee Maker,Appliances,West,140,80.93,11330.04,False
2023-01-02,Coffee Maker,Appliances,North,129,79.08,10201.84,False
2023-01-02,Coffee Maker,Appliances,South,144,77.51,11161.33,False
2023-01-02,Blender,Appliances,East,71,40.37,2866.33,True
2023-01-02,Blender,Appliances,West,126,49.21,6200.07,False
2023-01-02,Blender,Appliances,North,118,48.76,5753.61,False
2023-01-02,Blender,Appliances,South,128,48.38,6193.0,False
2023-01-02,Office Chair,Furniture,East,119,203.12,24170.94,False
2023-01-02,Office Chair,Furniture,West,98,202.08,19803.61,False
2023-01-02,Office Chair,Furniture,North,127,201.38,25574.72,False
2023-01-02,Office Chair,Furniture,South,126,160.93,20277.15,True
2023-01-02,Desk,Furniture,East,157,302.83,47544.77,False
2023-01-02,Desk,Furniture,West,158,294.14,46474.45,False
2023-01-02,Desk,Furniture,North,175,295.07,51636.56,False
2023-01-02,Desk,Furniture,South,167,304.92,50922.01,False
2023-01-03,Laptop,Electronics,East,86,984.92,84702.73,False
2023-01-03,Laptop,Electronics,West,86,998.45,85866.53,False
2023-01-03,Laptop,Electronics,North,105,1016.53,106736.02,False
2023-01-03,Laptop,Electronics,South,164,994.7,163130.29,False
2023-01-03,Smartphone,Electronics,East,100,550.39,55039.2,True
2023-01-03,Smartphone,Electronics,West,117,696.86,81532.8,False
2023-01-03,Smartphone,Electronics,North,100,698.97,69897.04,False
2023-01-03,Smartphone,Electronics,South,75,693.74,52030.42,False
2023-01-03,Headphones,Electronics,East,106,156.0,16536.41,False
2023-01-03,Headphones,Electronics,West,109,157.16,17130.64,False
2023-01-03,Headphones,Electronics,North,104,156.33,16258.6,False
2023-01-03,Headphones,Electronics,South,122,163.46,19941.58,False
2023-01-03,Coffee Maker,Appliances,East,121,78.49,9497.25,False
2023-01-03,Coffee Maker,Appliances,West,244,80.81,19718.61,False
2023-01-03,Coffee Maker,Appliances,North,195,81.81,15952.3,False
2023-01-03,Coffee Maker,Appliances,South,194,79.49,15420.21,False
2023-01-03,Blender,Appliances,East,80,49.75,3980.26,False
2023-01-03,Blender,Appliances,West,82,52.3,4288.94,False
2023-01-03,Blender,Appliances,North,108,48.38,5224.78,False
2023-01-03,Blender,Appliances,South,108,50.05,5405.86,False
2023-01-03,Office Chair,Furniture,East,103,202.71,20878.95,False
2023-01-03,Office Chair,Furniture,West,126,200.17,25221.71,False
2023-01-03,Office Chair,Furniture,North,148,202.53,29973.78,False
2023-01-03,Office Chair,Furniture,South,146,197.34,28812.08,False
2023-01-03,Desk,Furniture,East,114,299.3,34120.38,False
2023-01-03,Desk,Furniture,West,147,292.79,43039.9,False
2023-01-03,Desk,Furniture,North,138,236.86,32686.15,True
2023-01-03,Desk,Furniture,South,153,292.42,44741.02,False
2023-01-04,Laptop,Electronics,East,120,1020.64,122476.69,False
2023-01-04,Laptop,Electronics,West,83,1025.33,85102.22,False
2023-01-04,Laptop,Electronics,North,98,1015.48,99517.29,False
